,Unnamed: 0,movieCd,movieNm,director,openDt,typeNm,repNationNm,repGenreNm,companyNm
0,0,20070316,디워,심형래,20070801,장편,한국,액션,㈜영구아트
1,1,20122021,트랜스포머: 사라진 시대,마이클 베이,20140625,장편,미국,액션,㈜영구아트
2,2,20110659,트랜스포머 3,마이클 베이,20110629,장편,미국,액션,㈜영구아트
3,3,20090303,트랜스포머: 패자의 역습,마이클 베이,20090624,장편,미국,SF,드림웍스 SKG
4,4,20070061,트랜스포머,마이클 베이,20070628,장편,미국,SF,드림웍스픽쳐스
5,5,20070209,화려한 휴가,김지훈,20070725,장편,한국,드라마,기획시대(주)
6,6,20070056,스파이더맨 3,샘 레이미,20070501,장편,미국,액션,콜럼비아 픽쳐스 코포레이션
7,7,20070057,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,20070523,장편,미국,액션,제리 브룩하이머 필름
8,8,20070063,해리 포터와 불사조 기사단,데이빗 예이츠,20070711,장편,미국,판타지,워너 브러더스 픽쳐스
9,9,20070060,다이 하드 4 : 죽어도 산다,렌 와이즈먼,20070717,장편,미국,액션,샤이엔 엔터프라이지즈
10,10,20070015,그놈 목소리,박진표,20070201,장편,한국,드라마,영화사 집
11,11,20090926,식객2 : 김치전쟁,백동훈,20100128,장편,한국,드라마,㈜이룸영화사
12,12,20070435,식객,전윤수,20071101,장편,한국,드라마,쇼이스트(주)
13,13,20147247,300: 제국의 부활,노암 머로,20140306,장편,미국,액션,쇼이스트(주)
14,14,20080560,엄마 찾아 삼만리,정수용,19810105,장편,한국,애니메이션,(주)선우프로덕션
15,15,19940299,맥스 3000 ,존 라피아,19940827,장편,미국,SF,(주)선우프로덕션
16,16,20070033,300,잭 스나이더,20070314,장편,미국,액션,워너 브러더스 픽쳐스
17,17,20060387,미녀는 괴로워,김용화,20061214,장편,한국,멜로/로맨스,리얼라이즈픽쳐스(주)
18,18,20100321,섹시한 미녀는 괴로워,톰 퍼트남,20100617,장편,미국,멜로/로맨스,퍼플 픽처스
19,19,20070116,슈렉3,크리스 밀러,20070606,장편,미국,애니메이션,드림웍스 애니메이션
20,20,20070014,1번가의 기적,윤제균,20070214,장편,한국,드라마,(주)두사부필름
21,21,20070550,나는 전설이다,프란시스 로렌스,20071212,장편,미국,SF,워너 브러더스 픽쳐스
22,22,20143261,해적왕의 황금나침반,마이크 마주크,20141127,장편,독일,가족,워너 브러더스 픽쳐스
23,23,20070551,황금 나침반,크리스 웨이츠,20071218,장편,미국,판타지,뉴라인 시네마
24,24,20070434,바르게 살자,라희찬,20071018,장편,한국,코미디,필름있수다
25,25,20070104,극락도 살인사건,김한민,20070412,장편,한국,공포(호러),(주)두엔터테인먼트 
26,26,20070466,세븐 데이즈,원신연,20071114,장편,한국,스릴러,(주)영화사윤앤준
27,27,20134561,세븐데이즈,다니엘 그로우,20130131,장편,캐나다,스릴러,(주)영화사윤앤준
28,28,20166866,트럭걸의 사랑이야기,에지리 다이,20160715,장편,일본,멜로/로맨스,(주)영화사윤앤준
29,29,20090340,걸어도 걸어도,고레에다 히로카즈,20090618,장편,일본,드라마,(주)영화사윤앤준
30,30,20162583,불륜관계,삼도,20160714,장편,중국,멜로/로맨스,(주)큰손엔터테인먼트
31,31,20140281,"사랑해, 매기",유지니오 델베즈,20160727,장편,멕시코,코미디,(주)큰손엔터테인먼트
32,32,20070422,본 얼티메이텀,폴 그린그래스,20070912,장편,미국,액션,유니버셜 픽쳐스
33,33,20070585,어거스트 러쉬,커스틴 쉐리단,20071129,장편,미국,드라마,사우스포우 엔터테인먼트
34,34,20060319,박물관이 살아있다!,숀 레비,20061221,장편,미국,코미디,이십세기폭스필름코퍼레이션
35,35,20070582,"색, 계",이안,20071108,장편,미국,드라마,이십세기폭스필름코퍼레이션
36,36,20060421,바람피기 좋은 날,장문일,20070208,장편,한국,드라마,(주)아이필름홀딩스
37,37,20070637,색즉시공 시즌2,윤태윤,20071212,장편,한국,코미디,(주)두사부필름
38,38,20070115,밀양,이창동,20070523,장편,한국,드라마,파인하우스필름㈜
39,39,20141110,밀양 아리랑,박배일,20150716,장편,한국,다큐멘터리,오지필름
40,40,20070421,권순분여사 납치사건,김상진,20070912,장편,한국,코미디,(주)어나더썬데이
41,41,20070020,복면달호,김상찬,20070214,장편,한국,코미디,(주)인앤인픽쳐스
42,42,20060407,마파도2,이상훈 ,20070118,장편,한국,코미디,코리아 엔터테인먼트
43,43,20070058,오션스 써틴,스티븐 소더버그,20070614,장편,미국,범죄,코리아 엔터테인먼트
44,44,20070497,궁녀,김미정,20071018,장편,한국,미스터리,(주)영화사아침
45,45,20154452,궁녀-방탕한 왕과 음란한 궁녀들,하세가와 구니히로,20150917,장편,일본,멜로/로맨스,(주)영화사아침
46,46,19600084,낙화암과 삼천궁녀,이규환,19600512,장편,한국,사극,명신영화사
47,47,20070205,검은 집,신태라,20070621,장편,한국,스릴러,씨제이엔터테인먼트
48,48,20060412,허브,허인무,20070111,장편,한국,드라마,케이엠컬쳐㈜
49,49,20070089,만남의 광장,김종진 ,20070815,장편,한국,코미디,(주)씨와이필름
50,50,20070380,즐거운 인생,이준익,20070913,장편,한국,드라마,(주)영화사아침
