,movieCd,movieNm,star_score,star_user_count
0,20070316.0,디워,9.24,"9,210"
1,20122021.0,트랜스포머: 사라진 시대,6.18,"3,556"
2,20110659.0,트랜스포머 3,9.49,"1,803"
3,20090303.0,트랜스포머: 패자의 역습,7.72,"2,603"
4,20070061.0,트랜스포머,9.17,"1,210"
5,20070209.0,화려한 휴가,8.45,"1,743"
6,20070057.0,캐리비안의 해적: 세상의 끝에서,9.76,"2,664"
7,20070063.0,해리 포터와 불사조 기사단,9.22,"1,703"
8,20070060.0,다이 하드 4 : 죽어도 산다,9.13,455
9,20070015.0,그놈 목소리,9.18,800
10,20090926.0,식객2 : 김치전쟁,8.60,271
11,20070435.0,식객,8.97,658
12,20147247.0,300: 제국의 부활,8.48,280
13,20070033.0,300,8.95,487
14,20060387.0,미녀는 괴로워,8.16,883
15,20100321.0,섹시한 미녀는 괴로워,4.33,3
16,20070116.0,슈렉3,9.18,330
17,20070014.0,1번가의 기적,8.45,300
18,20070550.0,나는 전설이다,9.51,493
19,20143261.0,해적왕의 황금나침반,9.09,23
20,20070551.0,황금 나침반,8.98,310
21,20070434.0,바르게 살자,9.22,200
22,20070104.0,극락도 살인사건,8.81,266
23,20070466.0,세븐 데이즈,9.62,16
24,20134561.0,세븐데이즈,6.61,119
25,20090340.0,걸어도 걸어도,9.60,5
26,20162583.0,불륜관계,7.31,13
27,20070422.0,본 얼티메이텀,9.48,482
28,20070585.0,어거스트 러쉬,9.38,508
29,20060319.0,박물관이 살아있다!,9.18,358
30,20070582.0,"색, 계",8.61,88
31,20060421.0,바람피기 좋은 날,7.22,140
32,20070637.0,색즉시공 시즌2,6.63,199
33,20070115.0,밀양,8.47,227
34,20070421.0,권순분여사 납치사건,8.16,276
35,20070020.0,복면달호,7.90,828
36,20060407.0,마파도2,6.78,165
37,20070058.0,오션스 써틴,8.50,124
38,20070497.0,궁녀,0.00,0
39,20070205.0,검은 집,5.33,3
40,20070089.0,만남의 광장,7.79,145
41,20070380.0,즐거운 인생,8.33,6
42,20070549.0,내셔널 트레져:비밀의 책,9.06,157
43,20070128.0,황진이,5.33,6
44,20060417.0,최강로맨스,7.29,476
45,20070151.0,못말리는 결혼,8.22,159
46,20070084.0,이장과 군수,9.14,205
47,20140704.0,비밀은 없다,8.71,184
48,20155748.0,행복까지 30일,9.83,23
49,20090076.0,나는 행복합니다,8.33,24
50,20070034.0,그 여자 작사 그 남자 작곡,9.53,105
51,20070367.0,지금 사랑하는 사람과 살고 있습니까?,7.15,136
52,20070264.0,라따뚜이,8.71,313
53,20070521.0,베오울프,8.01,136
54,20070083.0,향수 : 어느 살인자의 이야기,9.17,29
55,20070072.0,우아한 세계,9.09,239
56,20070021.0,김관장 대 김관장 대 김관장,7.18,255
57,20060345.0,에라곤,7.92,230
58,20070381.0,마이 파더,7.95,397
59,20060357.0,조폭마누라3,5.85,306
60,20070383.0,상사부일체,3.37,692
61,20070306.0,스타더스트,6.71,7
62,20090329.0,내 사랑 내 곁에,9.74,931
63,20030435.0,내사랑 싸가지,3.83,36
64,19590001.0,히로시마 내사랑,0.00,0
65,20070352.0,러시 아워 3,9.81,262
