,movieCd,movieNm_x,movieNm_y,url
0,20070316.0,디워,디 워 (D-War),/movie/bi/mi/basic.nhn?code=39569
1,20122021.0,트랜스포머: 사라진 시대,트랜스포머: 사라진 시대 (Transformers: Age of Extinction),/movie/bi/mi/basic.nhn?code=100691
2,20110659.0,트랜스포머 3,트랜스포머 3 (Transformers: Dark Of The Moon),/movie/bi/mi/basic.nhn?code=70241
3,20090303.0,트랜스포머: 패자의 역습,트랜스포머: 패자의 역습 (Transformers: Revenge Of The Fallen),/movie/bi/mi/basic.nhn?code=68052
4,20070061.0,트랜스포머,트랜스포머 (Transformers),/movie/bi/mi/basic.nhn?code=61521
5,20070209.0,화려한 휴가,화려한 휴가 (May 18),/movie/bi/mi/basic.nhn?code=58018
6,20070057.0,캐리비안의 해적: 세상의 끝에서,캐리비안의 해적 - 세상의 끝에서 (Pirates Of The Caribbean: At World's End),/movie/bi/mi/basic.nhn?code=43679
7,20070063.0,해리 포터와 불사조 기사단,해리 포터와 불사조 기사단 (Harry Potter And The Order Of The Phoenix),/movie/bi/mi/basic.nhn?code=57095
8,20070060.0,다이 하드 4 : 죽어도 산다,다이 하드 4.0 (Live Free Or Die Hard),/movie/bi/mi/basic.nhn?code=40133
9,20070015.0,그놈 목소리,그놈 목소리 (Voice Of A Murder),/movie/bi/mi/basic.nhn?code=61698
10,20090926.0,식객2 : 김치전쟁,식객: 김치전쟁,/movie/bi/mi/basic.nhn?code=52144
11,20070435.0,식객,식객 (Le Grand Chef),/movie/bi/mi/basic.nhn?code=62167
12,20147247.0,300: 제국의 부활,300: 제국의 부활 (300: Rise of an Empire),/movie/bi/mi/basic.nhn?code=91192
13,20070033.0,300,300,/movie/bi/mi/basic.nhn?code=58072
14,20060387.0,미녀는 괴로워,미녀는 괴로워 (200 Pounds Beauty),/movie/bi/mi/basic.nhn?code=39157
15,20100321.0,섹시한 미녀는 괴로워,섹시한 미녀는 괴로워 (The Hottie & The Nottie),/movie/bi/mi/basic.nhn?code=66106
16,20070116.0,슈렉3,슈렉 3 (Shrek The Third),/movie/bi/mi/basic.nhn?code=43838
17,20070014.0,1번가의 기적,1번가의 기적 (Miracle On 1st Street),/movie/bi/mi/basic.nhn?code=61103
18,20070550.0,나는 전설이다,나는 전설이다 (I Am Legend),/movie/bi/mi/basic.nhn?code=64191
19,20143261.0,해적왕의 황금나침반,해적왕의 황금나침반 (Funf Freunde 3),/movie/bi/mi/basic.nhn?code=125708
20,20070551.0,황금 나침반,황금나침반 (The Golden Compass),/movie/bi/mi/basic.nhn?code=61427
21,20070434.0,바르게 살자,바르게 살자 (Going By The Book),/movie/bi/mi/basic.nhn?code=65540
22,20070104.0,극락도 살인사건,극락도 살인사건 (Paradise Murdered),/movie/bi/mi/basic.nhn?code=47421
23,20070466.0,세븐 데이즈,세븐 데이즈 (Seven Days),/movie/bi/mi/basic.nhn?code=60753
24,20134561.0,세븐데이즈,세븐데이즈 (Les 7 jours du talion),/movie/bi/mi/basic.nhn?code=76738
25,20090340.0,걸어도 걸어도,걸어도 걸어도 (歩いても　歩いても),/movie/bi/mi/basic.nhn?code=50749
26,20162583.0,불륜관계,불륜 관계 (愛誰誰),/movie/bi/mi/basic.nhn?code=94200
27,20070422.0,본 얼티메이텀,본 얼티메이텀 (The Bourne Ultimatum),/movie/bi/mi/basic.nhn?code=59075
28,20070585.0,어거스트 러쉬,어거스트 러쉬 (August Rush),/movie/bi/mi/basic.nhn?code=66158
29,20060319.0,박물관이 살아있다!,박물관이 살아있다! (Night At The Museum),/movie/bi/mi/basic.nhn?code=62422
30,20070582.0,"색, 계","색, 계 (色, 戒)",/movie/bi/mi/basic.nhn?code=61101
31,20060421.0,바람피기 좋은 날,바람 피기 좋은 날 (A Good Day To Have An Affair),/movie/bi/mi/basic.nhn?code=62290
32,20070637.0,색즉시공 시즌2,색즉시공 시즌 2 (Sex Is Zero 2),/movie/bi/mi/basic.nhn?code=62219
33,20070115.0,밀양,밀양 (Secret Sunshine),/movie/bi/mi/basic.nhn?code=48747
34,20070421.0,권순분여사 납치사건,권순분 여사 납치사건 (Mission Possible: Kidnapping Granny K),/movie/bi/mi/basic.nhn?code=65649
35,20070020.0,복면달호,복면 달호 (Highway Star),/movie/bi/mi/basic.nhn?code=62638
36,20060407.0,마파도2,마파도 2 (Mapado 2),/movie/bi/mi/basic.nhn?code=62566
37,20070058.0,오션스 써틴,오션스 13 (Ocean's Thirteen),/movie/bi/mi/basic.nhn?code=57758
38,20070497.0,궁녀,궁녀 (宮女),/movie/bi/mi/basic.nhn?code=66363
39,20070205.0,검은 집,검은 집 (Black House),/movie/bi/mi/basic.nhn?code=65541
40,20070089.0,만남의 광장,만남의 광장 (Underground Rendez-vous),/movie/bi/mi/basic.nhn?code=63722
41,20070380.0,즐거운 인생,즐거운 인생 (Happy Life),/movie/bi/mi/basic.nhn?code=65463
42,20070549.0,내셔널 트레져:비밀의 책,내셔널 트레져: 비밀의 책 (National Treasure: Book Of Secrets),/movie/bi/mi/basic.nhn?code=36746
43,20070128.0,황진이,황진이 (Hwang Jin-yi),/movie/bi/mi/basic.nhn?code=60311
44,20060417.0,최강로맨스,최강 로맨스 (The Perfect Couple),/movie/bi/mi/basic.nhn?code=63150
45,20070151.0,못말리는 결혼,못말리는 결혼 (Unstoppable Marriage),/movie/bi/mi/basic.nhn?code=64247
46,20070084.0,이장과 군수,이장과 군수 (Small Town Rivals),/movie/bi/mi/basic.nhn?code=61639
47,20140704.0,비밀은 없다,비밀은 없다 (The Truth Beneath),/movie/bi/mi/basic.nhn?code=125802
48,20155748.0,행복까지 30일,행복까지 30일 (Kaakkaa Muttai),/movie/bi/mi/basic.nhn?code=129823
49,20090076.0,나는 행복합니다,나는 행복합니다 (I Am Happy),/movie/bi/mi/basic.nhn?code=65807
50,20070034.0,그 여자 작사 그 남자 작곡,그 여자 작사 그 남자 작곡 (Music And Lyrics),/movie/bi/mi/basic.nhn?code=65769
51,20070367.0,지금 사랑하는 사람과 살고 있습니까?,지금 사랑하는 사람과 살고 있습니까? (Love Now),/movie/bi/mi/basic.nhn?code=65429
52,20070264.0,라따뚜이,라따뚜이 (Ratatouille),/movie/bi/mi/basic.nhn?code=65021
53,20070521.0,베오울프,베오울프 (Beowulf),/movie/bi/mi/basic.nhn?code=37236
54,20070083.0,향수 : 어느 살인자의 이야기,향수 - 어느 살인자의 이야기 (Perfume: The Story Of A Murderer),/movie/bi/mi/basic.nhn?code=52553
55,20070072.0,우아한 세계,우아한 세계 (The Show Must Go On),/movie/bi/mi/basic.nhn?code=47414
56,20070021.0,김관장 대 김관장 대 김관장,김관장 대 김관장 대 김관장 (Three Kims),/movie/bi/mi/basic.nhn?code=45802
57,20060345.0,에라곤,에라곤 (Eragon),/movie/bi/mi/basic.nhn?code=53813
58,20070381.0,마이 파더,마이 파더 (My Father),/movie/bi/mi/basic.nhn?code=65840
59,20060357.0,조폭마누라3,조폭 마누라 3 (My Wife Is A Gangster III),/movie/bi/mi/basic.nhn?code=39756
60,20070383.0,상사부일체,상사부일체 - 두사부일체 3 (The Mafia The Salesman),/movie/bi/mi/basic.nhn?code=65058
61,20070306.0,스타더스트,스타더스트 (Stardust),/movie/bi/mi/basic.nhn?code=66144
62,20090329.0,내 사랑 내 곁에,내 사랑 내 곁에 (Closer To Heaven),/movie/bi/mi/basic.nhn?code=51076
63,20030435.0,내사랑 싸가지,내 사랑 싸가지 (100 Days With Mr. Arrogant),/movie/bi/mi/basic.nhn?code=37725
64,19590001.0,히로시마 내사랑,"히로시마 내 사랑 (Hiroshima, Mon Amour)",/movie/bi/mi/basic.nhn?code=16801
65,20070352.0,러시 아워 3,러시 아워 3 (Rush Hour 3),/movie/bi/mi/basic.nhn?code=36778
66,20135769.0,극장판 슈타인즈 게이트: 부하영역의 데자뷰,극장판 슈타인즈 게이트: 부하영역의 데자뷰 (劇場版  シュタインズ・ゲート 負荷領域のデジャヴ),/movie/bi/mi/basic.nhn?code=107748
67,20060390.0,데자뷰,데자뷰 (Deja Vu),/movie/bi/mi/basic.nhn?code=62249
68,20060423.0,드림걸즈,드림걸즈 (Dreamgirls),/movie/bi/mi/basic.nhn?code=61450
